"id","title","genres","director","rating","imdb_rating","avg_rating","total_reviews","total_spoilers"
"tt0120611","Blade ","Action|Horror","Stephen Norrington","R",7,8,394,58
"tt0118615","Anaconda ","Action|Adventure|Horror|Thriller","Luis Llosa","PG-13",5,5,193,41
"tt0200550","Coyote Ugly ","Comedy|Drama|Music|Romance","David McNally","PG-13",6,6,251,24
"tt0314331","Love Actually ","Comedy|Drama|Romance","Richard Curtis","R",8,7,614,129
"tt0120623","A Bug's Life ","Adventure|Animation|Comedy|Family|Fantasy","John Lasseter","G",7,8,215,24
"tt0371724","The Hitchhiker's Guide to the Galaxy ","Adventure|Comedy|Sci-Fi","Garth Jennings","PG",7,5,733,208
"tt0408985","Last Holiday ","Adventure|Comedy|Drama","Wayne Wang","PG-13",6,7,111,34
"tt0110997","The River Wild ","Action|Adventure|Crime|Thriller","Curtis Hanson","PG-13",6,6,54,17
"tt1615065","Savages ","Crime|Drama|Thriller","Oliver Stone","R",7,6,264,85
"tt0959337","Revolutionary Road ","Drama|Romance","Sam Mendes","R",7,7,390,124
"tt1024648","Argo ","Biography|Drama|History|Thriller","Ben Affleck","R",8,7,675,209
"tt0106977","The Fugitive ","Action|Adventure|Crime|Drama|Mystery|Thriller","Andrew Davis","PG-13",8,8,226,44
"tt0117665","Sleepers ","Crime|Drama|Thriller","Barry Levinson","R",8,8,186,49
"tt0253867","The Sweetest Thing ","Comedy|Romance","Roger Kumble","R",5,4,279,29
"tt0106918","The Firm ","Drama|Mystery|Thriller","Sydney Pollack","R",7,7,112,35
"tt1232829","21 Jump Street ","Action|Comedy|Crime","Phil Lord","R",7,7,342,92
"tt0125439","Notting Hill ","Comedy|Drama|Romance","Roger Michell","PG-13",7,8,451,42
"tt0120630","Chicken Run ","Adventure|Animation|Comedy|Drama|Family","Peter Lord","G",7,8,273,20
"tt2404463","The Heat ","Action|Comedy|Crime","Paul Feig","R",7,6,359,99
"tt0108255","Super Mario Bros. ","Adventure|Comedy|Family|Fantasy|Sci-Fi","Annabel Jankel","PG",4,6,212,42
"tt0399295","Lord of War ","Crime|Drama|Thriller","Andrew Niccol","R",8,7,411,109
"tt0298203","8 Mile ","Drama|Music","Curtis Hanson","R",7,7,377,62
"tt0183790","A Knight's Tale ","Action|Adventure|Romance","Brian Helgeland","PG-13",7,7,490,50
"tt0167404","The Sixth Sense ","Drama|Mystery|Thriller","M. Night Shyamalan","PG-13",8,8,597,127
"tt1800241","American Hustle ","Crime|Drama","David O. Russell","R",7,6,718,185
"tt1041829","The Proposal ","Comedy|Drama|Romance","Anne Fletcher","PG-13",7,7,259,90
"tt0150377","Double Jeopardy ","Crime|Mystery|Thriller","Bruce Beresford","R",6,6,231,53
"tt2872732","Lucy ","Action|Sci-Fi|Thriller","Luc Besson","R",6,6,725,265
"tt2322441","Fifty Shades of Grey ","Drama|Romance","Sam Taylor-Johnson","R",4,6,749,228
"tt0117913","A Time to Kill ","Crime|Drama|Thriller","Joel Schumacher","R",7,7,178,52
"tt0349205","Cheaper by the Dozen ","Comedy|Family","Shawn Levy","PG",6,6,184,32
"tt1091191","Lone Survivor ","Action|Biography|Drama|Thriller|War","Peter Berg","R",8,7,415,173
"tt0104694","A League of Their Own ","Comedy|Drama|Sport","Penny Marshall","PG",7,8,132,26
"tt1285016","The Social Network ","Biography|Drama","David Fincher","PG-13",8,8,645,172
"tt1001508","He's Just Not That Into You ","Comedy|Drama|Romance","Ken Kwapis","PG-13",6,6,189,71
"tt0099088","Back to the Future Part III ","Adventure|Comedy|Sci-Fi|Western","Robert Zemeckis","PG",7,8,198,54
"tt0103874","Bram Stoker's Dracula ","Fantasy|Horror|Romance","Francis Ford Coppola","R",8,7,522,120
"tt0134119","The Talented Mr. Ripley ","Crime|Drama|Thriller","Anthony Minghella","R",7,7,503,92
"tt0104691","The Last of the Mohicans ","Action|Adventure|Drama|Romance|War","Michael Mann","R",8,9,307,53
"tt0401792","Sin City ","Crime|Thriller","Frank Miller","R",8,6,675,135
"tt0256380","Shallow Hal ","Comedy|Drama|Fantasy|Romance","Bobby Farrelly","PG-13",6,6,280,41
"tt0102138","JFK ","Drama|History|Thriller","Oliver Stone","R",8,8,342,59
"tt0974661","17 Again ","Comedy|Drama|Family|Fantasy|Romance","Burr Steers","PG-13",6,7,178,66
"tt2203939","The Other Woman ","Comedy|Romance","Nick Cassavetes","PG-13",6,5,183,59
"tt3682448","Bridge of Spies ","Drama|History|Thriller","Steven Spielberg","PG-13",8,8,389,117
"tt0122718","Small Soldiers ","Action|Adventure|Comedy|Family|Sci-Fi","Joe Dante","PG-13",6,7,99,13
"tt0120177","Spawn ","Action|Horror","Mark A.Z. Dippé","R",5,5,159,24
"tt0245844","The Count of Monte Cristo ","Action|Adventure|Drama|Romance|Thriller","Kevin Reynolds","PG-13",8,7,421,67
"tt0482571","The Prestige ","Drama|Mystery|Sci-Fi|Thriller","Christopher Nolan","PG-13",9,8,734,238
"tt0472043","Apocalypto ","Action|Adventure|Drama|Thriller","Mel Gibson","R",8,7,720,215
"tt1424381","Predators ","Action|Adventure|Sci-Fi|Thriller","Nimród Antal","R",6,6,579,245
"tt0866439","Made of Honor ","Comedy|Romance","Paul Weiland","PG-13",6,5,97,46
"tt0119978","The Rainmaker ","Crime|Drama|Thriller","Francis Ford Coppola","PG-13",7,7,113,21
"tt0118607","Amistad ","Drama|History","Steven Spielberg","R",7,8,179,25
"tt0110989","Ri¢hie Ri¢h ","Comedy|Family","Donald Petrie","PG",5,6,30,6
"tt1092026","Paul ","Adventure|Comedy|Sci-Fi","Greg Mottola","R",7,6,288,93
"tt0101761","The Doors ","Biography|Drama|Music|Musical","Oliver Stone","R",7,7,151,23
"tt0817538","Drillbit Taylor ","Comedy|Drama","Steven Brill","PG-13",6,6,95,19
"tt0294870","Rent ","Drama|Musical|Romance","Chris Columbus","PG-13",7,8,708,164
"tt0116654","The Island of Dr. Moreau ","Horror|Sci-Fi|Thriller","John Frankenheimer","PG-13",4,5,116,28
"tt0467200","The Other Boleyn Girl ","Biography|Drama|History|Romance","Justin Chadwick","PG-13",7,6,234,87
"tt0114436","Showgirls ","Drama","Paul Verhoeven","NC-17",5,5,320,53
"tt0422720","Marie Antoinette ","Biography|Drama|History|Romance","Sofia Coppola","PG-13",6,5,591,143
"tt1649419","The Impossible ","Drama|Thriller","J.A. Bayona","PG-13",8,7,316,94
"tt0432283","Fantastic Mr. Fox ","Adventure|Animation|Comedy|Crime|Family","Wes Anderson","PG",8,7,243,56
"tt0211915","Amélie ","Comedy|Romance","Jean-Pierre Jeunet","R",8,8,648,80
"tt0448134","Sunshine ","Adventure|Sci-Fi|Thriller","Danny Boyle","R",7,6,722,307
"tt0113243","Hackers ","Comedy|Crime|Drama|Thriller","Iain Softley","PG-13",6,7,161,18
"tt1706620","Snowpiercer ","Action|Drama|Sci-Fi|Thriller","Joon-ho Bong","R",7,6,526,202
"tt0109506","The Crow ","Action|Drama|Fantasy","Alex Proyas","R",8,9,426,66
"tt0379786","Serenity ","Action|Adventure|Sci-Fi|Thriller","Joss Whedon","PG-13",8,8,744,140
"tt0256415","Sweet Home Alabama ","Comedy|Romance","Andy Tennant","PG-13",6,6,271,56
"tt1142988","The Ugly Truth ","Comedy|Romance","Robert Luketic","R",7,6,155,56
"tt0287717","Spy Kids 2: Island of Lost Dreams ","Action|Adventure|Comedy|Family|Sci-Fi","Robert Rodriguez","PG",5,7,75,6
"tt0202470","Rock Star ","Drama|Music","Stephen Herek","R",6,6,144,25
"tt0084787","The Thing ","Horror|Mystery|Sci-Fi","John Carpenter","R",8,9,366,71
"tt1411250","Riddick ","Action|Sci-Fi|Thriller","David Twohy","R",6,6,320,132
"tt1560747","The Master ","Drama","Paul Thomas Anderson","R",7,6,404,112
"tt2304933","The 5th Wave ","Action|Adventure|Sci-Fi|Thriller","J Blakeson","PG-13",5,4,298,118
"tt3076658","Creed ","Drama|Sport","Ryan Coogler","PG-13",8,8,388,118
"tt0840361","The Town ","Crime|Drama|Thriller","Ben Affleck","R",8,8,391,115
"tt0887883","Burn After Reading ","Comedy|Drama","Ethan Coen","R",7,6,521,133
"tt1979320","Rush ","Action|Biography|Drama|Sport","Ron Howard","R",8,9,467,99
"tt0175880","Magnolia ","Drama","Paul Thomas Anderson","R",8,6,542,80
"tt1099212","Twilight ","Drama|Fantasy|Romance","Catherine Hardwicke","PG-13",5,4,718,272
"tt1723121","We're the Millers ","Comedy|Crime","Rawson Marshall Thurber","R",7,7,285,84
"tt0184858","Reindeer Games ","Action|Adventure|Crime|Drama|Family|Fantasy|Romance|Thriller","John Frankenheimer","R",6,6,147,25
"tt0119177","Gattaca ","Drama|Sci-Fi|Thriller","Andrew Niccol","PG-13",8,8,528,93
"tt1119646","The Hangover ","Comedy","Todd Phillips","R",8,7,590,177
"tt0145660","Austin Powers: The Spy Who Shagged Me ","Action|Adventure|Comedy|Crime","Jay Roach","PG-13",7,6,499,25
"tt0104714","Lethal Weapon 3 ","Action|Crime|Thriller","Richard Donner","R",7,7,96,16
"tt0878804","The Blind Side ","Biography|Drama|Sport","John Lee Hancock","PG-13",8,8,410,112
"tt0227538","Spy Kids ","Action|Adventure|Comedy|Family|Sci-Fi","Robert Rodriguez","PG",5,7,148,16
"tt1499658","Horrible Bosses ","Comedy|Crime","Seth Gordon","R",7,6,311,72
"tt1403865","True Grit ","Adventure|Drama|Western","Ethan Coen","PG-13",8,7,663,161
"tt0458352","The Devil Wears Prada ","Comedy|Drama|Romance","David Frankel","PG-13",7,7,598,186
